listing_title,listing_content,listing_category,listing_location,address,phone,email,website,listing_img,latitude,longitude
"Environment Associates, Inc",Professional testing laboratory specializing in Environmental Testing services. Rated 4.6 stars.,Environmental Testing,California,"9604 Variel Ave, Chatsworth, CA 91311, USA",(818) 709-0568,,http://www.eatest.com/,,,
"3West Environmental, Inc.",Professional testing laboratory specializing in Environmental Testing services. Rated 5 stars.,Environmental Testing,California,"2355 Westwood Blvd, Los Angeles, CA 90064, USA",(310) 400-0195,,https://www.3westenviro.com/,,,
Element Singapore - 4 Tuas Loop,Professional testing laboratory specializing in Materials Testing services. Rated 4 stars.,Materials Testing,Singapore,"4 Tuas Lp, Tuas Connection, Singapore 637342",6362 9066,,https://www.element.com/locations/asia/tuas-loop,,,
CAST Laboratories Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 4.4 stars.,Materials Testing,Singapore,"17 Tuas Ave 8, Singapore 639232",6801 6000,,https://www.castlab.com.sg/,,,
Professional Testing Services Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 4 stars.,Materials Testing,Singapore,"32 Kian Teck Rd, Singapore 628779",6778 1271,,https://www.ptspl.com/,,,
Element Singapore - Tuas Westpoint,Professional testing laboratory specializing in Materials Testing services. Rated 4.8 stars.,Materials Testing,Singapore,"106 Tuas South Ave 2, West Point Biz Hub, Singapore 637158",6372 5600,,https://www.element.com/locations/asia/singapore,,,
Element Singapore - Ang Mo Kio,Professional testing laboratory specializing in Materials Testing services. Rated 4 stars.,Materials Testing,Singapore,"4010 Ang Mo Kio Ave 10, #03-12 Techplace 1, Singapore 569626",6660 7322,,https://www.element.com/locations/asia/singapore-ang-mo-kio?utm_campaign=Local%20SEO%20EMEAA%20BE&utm_medium=referral&utm_source=google-business,,,
EAG Laboratories,Professional testing laboratory specializing in Materials Testing services. Rated 5 stars.,Materials Testing,Singapore,"127 Woodlands Industrial Park E5, Woodlands E-Terrace, Singapore 757500",8223 8560,,https://www.eag.com/,,,
Setsco Technology Center,Professional testing laboratory specializing in Materials Testing services. Rated 4.4 stars.,Materials Testing,Singapore,"531 Bukit Batok Street 23, Singapore 659547",6566 7777,,http://www.setsco.com/,,,
Brightsight by SGS - Singapore - Singapore,Professional testing laboratory specializing in Materials Testing services. Rated 4.2 stars.,Materials Testing,Singapore,"30 Boon Lay Wy, #03-01, Singapore 609957",6379 0111,,https://www.brightsight.com/?utm_source=googlemybusiness&utm_medium=Referral_GMB&utm_campaign=SGSSG01,,,
Element,Professional testing laboratory specializing in Materials Testing services. Rated 4 stars.,Materials Testing,Singapore,"249 Jln Boon Lay, Singapore 619523",6660 7271,,https://www.element.com/,,,
Intertek Testing Services (Singapore) Pte Ltd - Softlines,Professional testing laboratory specializing in Materials Testing services. Rated 5 stars.,Materials Testing,Singapore,"5 Pereira Rd, #06-03 Asiawide Industrial Building, Singapore 368025",6388 8666,,https://goo.gl/6iPCRK,,,
Marchwood Laboratory Services Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 4.3 stars.,Materials Testing,Singapore,"116 Tuas South Ave 2, West Point BizHub, Singapore 637163",6790 0118,,http://www.mls.sg/,,,
Geonamics (S) Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 5 stars.,Materials Testing,Singapore,"5 Kwong Min Rd, Singapore 628708",6893 6913,,http://geonamics.com.sg/,,,
Metric Materials Analysis Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated  stars.,Materials Testing,Singapore,"1 Soon Lee St, #05-12, Singapore 627605",8473 7400,,https://www.metricma.com/,,,
IMR Test Labs,Professional testing laboratory specializing in Materials Testing services. Rated 4 stars.,Materials Testing,Singapore,"30 Loyang Way, Singapore 508769",6592 5325,,http://www.imrtest.com/,,,
Ugene Laboratory Services Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 4.6 stars.,Materials Testing,Singapore,"21 Woodlands Industrial Park E1, #04 08, Singapore 757720",6368 6625,,http://www.ugenelab.com/,,,
ALS Technichem (S) Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 3.9 stars.,Materials Testing,Singapore,"121 Genting Ln, Singapore 349572",6589 0118,,https://www.alsglobal.com/en/,,,
Temasek Laboratories @ NTU,Professional testing laboratory specializing in Materials Testing services. Rated 4.8 stars.,Materials Testing,Singapore,"50 Nanyang Drive, Research Techno Plaza, BorderX Block, 9th Storey, Singapore 637553",6790 5910,,,,,
Examat Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated 2.8 stars.,Materials Testing,Singapore,"98 Tuas South Ave 2, Singapore 637454",6933 5399,,http://www.examat.com.sg/,,,
Lab Services Pte Ltd,Professional testing laboratory specializing in Materials Testing services. Rated  stars.,Materials Testing,Singapore,"29 Changi South Ave 2, #01 02, Singapore 486444",6749 6009,,http://www.labsvcs.com.sg/,,,
R.A.K. Materials Consultants Pte Ltd (LAB),Professional testing laboratory specializing in Materials Testing services. Rated  stars.,Materials Testing,Singapore,"BLK 2032 659537, 01-298 Bukit Batok Street 23, Singapore 659537",6561 5366,,https://rakmat.com.sg/,,,
